TckrSymb;ISIN;Asst;AsstDesc;SgmtNm;MktNm;SctyCtgyNm;SpcfctnCd;XprtnDt;XprtnCd;TradgStartDt;TradgEndDt;BaseCd;CrpnNm;CorpGovnLvlNm
AURA33;BRAURABDR001;AURA;AURA;CASH;EQUITY-CASH;BDR;DR3;;;2025-11-18;9999-12-31;;AURA MINERALS INC.;
AURA33M;BRAURABDR001;AURA;AURA;Equity Block Trading Lot;EQUITY-CASH;BDR;DR3;;;2025-11-18;9999-12-31;;AURA MINERALS INC.;
AURA33Q;BRAURABDR001;AURA;AURA;Equity Block Trading Lot;EQUITY-CASH;BDR;DR3;;;2025-11-18;9999-12-31;;AURA MINERALS INC.;
AURA33R;BRAURABDR001;AURA;AURA;Equity Block Trading Lot;EQUITY-CASH;BDR;DR3;;;2025-11-18;9999-12-31;;AURA MINERALS INC.;
G2DI33;BRG2DIBDR002;G2DI;G2DI;CASH;EQUITY-CASH;BDR;DR3;;;2021-05-17;9999-12-31;;G2D INVESTMENTS LTD;
G2DI33M;BRG2DIBDR002;G2DI;G2DI;Equity Block Trading Lot;EQUITY-CASH;BDR;DR3;;;2021-05-17;9999-12-31;;G2D INVESTMENTS LTD;
G2DI33Q;BRG2DIBDR002;G2DI;G2DI;Equity Block Trading Lot;EQUITY-CASH;BDR;DR3;;;2021-05-17;9999-12-31;;G2D INVESTMENTS LTD;
G2DI33R;BRG2DIBDR002;G2DI;G2DI;Equity Block Trading Lot;EQUITY-CASH;BDR;DR3;;;2021-05-17;9999-12-31;;G2D INVESTMENTS LTD;
INBR32;BRINBRBDR007;INBR;INBR;CASH;EQUITY-CASH;BDR;DR2;;;2025-02-18;9999-12-31;;INTER CO INC;
INBR32M;BRINBRBDR007;INBR;INBR;Equity Block Trading Lot;EQUITY-CASH;BDR;DR2;;;2025-02-18;9999-12-31;;INTER CO INC;
INBR32Q;BRINBRBDR007;INBR;INBR;Equity Block Trading Lot;EQUITY-CASH;BDR;DR2;;;2025-02-18;9999-12-31;;INTER CO INC;
INBR32R;BRINBRBDR007;INBR;INBR;Equity Block Trading Lot;EQUITY-CASH;BDR;DR2;;;2025-02-18;9999-12-31;;INTER CO INC;
JBSS32;BRJBSSBDR002;JBSS;JBSS;CASH;EQUITY-CASH;BDR;DR2;;;2025-11-28;9999-12-31;;JBS N.V.;
JBSS32M;BRJBSSBDR002;JBSS;JBSS;Equity Block Trading Lot;EQUITY-CASH;BDR;DR2;;;2025-11-28;9999-12-31;;JBS N.V.;
JBSS32Q;BRJBSSBDR002;JBSS;JBSS;Equity Block Trading Lot;EQUITY-CASH;BDR;DR2;;;2025-11-28;9999-12-31;;JBS N.V.;
JBSS32R;BRJBSSBDR002;JBSS;JBSS;Equity Block Trading Lot;EQUITY-CASH;BDR;DR2;;;2025-11-28;9999-12-31;;JBS N.V.;
PPLA35;BRPPLABDR010;PPLA;PPLA;CASH;EQUITY-CASH;BDR;DR3  B;;;9999-12-31;9999-12-31;;PPLA PARTICIPATIONS LTD.;
PPLA36;BRPPLABDR002;PPLA;PPLA;CASH;EQUITY-CASH;BDR;DR3  A;;;9999-12-31;9999-12-31;;PPLA PARTICIPATIONS LTD.;
URUS33;BRURUSBDR001;URUS;URUS;CASH;EQUITY-CASH;BDR;DR3;;;9999-12-31;9999-12-31;;URCA REAL ESTATE HOLDINGS COMPANY LTD.;
